Mixer name: 'msm8974-taiko-mtp-snd-card'
Number of controls: 693
ctl	type	num	name                                     value

0	INT	3	Voice Rx Device Mute                     -1 -1 -1
1	INT	3	Voice Tx Device Mute                     -1 -1 -1
2	INT	3	Voice Tx Mute                            -1 -1 -1
3	INT	3	Voice Rx Gain                            -1 -1 -1
4	ENUM	1	TTY Mode                                 OFF
5	INT	2	Slowtalk Enable                          -1 -1
6	INT	3	VoLTE Rx Device Mute                     0 0 0
7	INT	3	VoLTE Tx Device Mute                     0 0 0
8	INT	3	Voice2 Tx Device Mute                    0 0 0
9	INT	2	Voip Tx Mute                             -1 -1
10	INT	2	Voip Rx Gain                             -1 -1
11	INT	1	Voip Mode Config                         12
12	INT	1	Voip Rate Config                         -1
13	INT	2	Voip Evrc Min Max Rate Config            1 4
14	BOOL	1	Voip Dtx Mode                            Off
15	BOOL	1	Compress Gapless Playback                Off
16	ENUM	1	EAR PA Gain                              POS_6_DB
17	INT	1	HPHL Volume                              15
18	INT	1	HPHR Volume                              15
19	INT	1	LINEOUT1 Volume                          13
20	INT	1	LINEOUT2 Volume                          13
21	INT	1	LINEOUT3 Volume                          13
22	INT	1	LINEOUT4 Volume                          13
23	INT	1	SPK DRV Volume                           8
24	INT	1	ADC1 Volume                              19
25	INT	1	ADC2 Volume                              19
26	INT	1	ADC3 Volume                              19
27	INT	1	ADC4 Volume                              19
28	INT	1	ADC5 Volume                              19
29	INT	1	ADC6 Volume                              19
30	INT	1	HPHL Impedance                           3518735
31	INT	1	HPHR Impedance                           7027599
32	INT	1	RX1 Digital Volume                       82
33	INT	1	RX2 Digital Volume                       82
34	INT	1	RX3 Digital Volume                       84
35	INT	1	RX4 Digital Volume                       84
36	INT	1	RX5 Digital Volume                       84
37	INT	1	RX6 Digital Volume                       84
38	INT	1	RX7 Digital Volume                       84
39	INT	1	DEC1 Volume                              84
40	INT	1	DEC2 Volume                              84
41	INT	1	DEC3 Volume                              84
42	INT	1	DEC4 Volume                              84
43	INT	1	DEC5 Volume                              84
44	INT	1	DEC6 Volume                              84
45	INT	1	DEC7 Volume                              84
46	INT	1	DEC8 Volume                              84
47	INT	1	DEC9 Volume                              84
48	INT	1	DEC10 Volume                             84
49	INT	1	IIR1 INP1 Volume                         51
50	INT	1	IIR1 INP2 Volume                         84
51	INT	1	IIR1 INP3 Volume                         84
