t,cap,uV,bl,i0,i1
1789375982,63,3953490,4,-247632,-229900
1789376002,63,3952614,4,-242647,-229400
1789376023,63,3951444,4,-248230,-269000
1789376043,63,3949107,4,-251021,-235500
1789376063,63,3949983,4,-283820,-242200
1789376083,62,3942675,4,-293888,-283000
1789376103,63,3945891,4,-244342,-229900
1789376123,62,3945306,4,-249327,-237700
1789376143,62,3944721,4,-248728,-233300
1789376163,62,3945306,4,-313926,-224300
1789376183,62,3938580,4,-240454,-231000
1789376203,62,3942675,4,-240953,-319800
1789376224,61,3941796,4,-248728,-227100
1789376244,61,3936825,4,-242647,-303100
1789376264,62,3940626,4,-247133,-229400
1789376284,61,3937410,4,-241551,-234400
1789376304,61,3937410,4,-248230,-230500
1789376324,61,3935658,4,-239856,-294100
1789376344,61,3937119,4,-242647,-239400
1789376364,61,3932439,4,-287708,-278500
1789376384,61,3935073,4,-267670,-235000
1789376404,61,3934779,4,-248728,-235000
1789376425,61,3933609,4,-247632,-231000
1789376445,61,3930978,4,-237663,-236600
1789376465,61,3931857,4,-248230,-269000
1789376485,60,3924840,4,-354501,-231600
1789376505,60,3929517,4,-247632,-234400
1789376525,60,3927762,4,-239357,-238900
1789376545,60,3929808,4,-247632,-253400
1789376565,60,3927762,4,-247632,-224300
1789376585,60,3926886,4,-247133,-237700
1789376605,60,3924546,4,-251520,-235000
1789376626,60,3916653,4,-249925,-240500
1789376646,59,3923961,4,-247632,-237200
1789376666,60,3923670,4,-243744,-237200
1789376686,59,3924255,4,-263283,-231000
1789376706,60,3923085,4,-247133,-290800
1789376726,59,3921330,4,-248230,-229400
1789376746,59,3921039,4,-261589,-230500
1789376766,59,3919575,4,-242647,-246700
1789376786,59,3912852,4,-248728,-229400
1789376806,59,3919575,4,-249327,-232700
1789376827,59,3914607,4,-367859,-276300
1789376847,59,3917823,4,-247632,-234400
1789376867,58,3914607,4,-294985,-285200
1789376887,59,3917529,4,-243245,-237700
1789376907,58,3914022,4,-296082,-279100
1789376927,59,3916944,4,-244840,-231600
1789376947,58,3914313,4,-249327,-238900
1789376967,58,3913143,4,-246037,-240000
1789376987,58,3915189,4,-344531,-237200
1789377007,58,3912852,4,-244342,-239400
1789377028,57,3914022,4,-242647,-235000
1789377048,58,3913437,4,-257102,-232200
1789377068,58,3910221,4,-242647,-233800
1789377088,58,3911388,4,-244840,-235000
1789377108,58,3911388,4,-241551,-240000
1789377128,58,3909927,4,-248728,-239400
1789377148,58,3910512,4,-250423,-237700
1789377168,58,3908466,4,-247632,-239400
1789377188,58,3906126,4,-252118,-233800
1789377208,57,3908466,4,-245439,-235000
1789377229,57,3906711,4,-257701,-238300
1789377249,57,3905541,4,-253215,-236100
1789377269,57,3904956,4,-259894,-238900
1789377289,57,3901740,4,-297776,-284100
1789377309,57,3906420,4,-269963,-233800
1789377329,56,3903495,4,-252716,-246700
1789377349,56,3898524,4,-253813,-283000
1789377369,57,3902619,4,-244840,-242200
1789377389,56,3896187,4,-304954,-337700
1789377409,57,3901449,4,-244840,-241700
1789377430,56,3902910,4,-249327,-246100
1789377450,57,3902034,4,-244342,-240500
1789377470,56,3896772,4,-298873,-278500
1789377490,56,3901155,4,-251520,-243300
1789377510,56,3897939,4,-244840,-239400
1789377530,56,3899988,4,-256006,-246100
1789377550,56,3898524,4,-283820,-240500
1789377570,56,3899109,4,-258797,-275100
1789377590,56,3897939,4,-254311,-235500
1789377610,56,3895893,4,-244342,-245600
1789377631,56,3897354,4,-252716,-235000
1789377651,55,3886539,4,-244840,-241100
1789377671,56,3894723,4,-252118,-235500
1789377691,56,3895893,4,-245439,-236600
1789377711,56,3893556,4,-258797,-242200
1789377731,55,3894723,4,-258797,-238300
1789377751,55,3893556,4,-250423,-241700
1789377771,55,3890337,4,-248230,-241100
1789377791,55,3890922,4,-320007,-238300
1789377812,55,3893262,4,-252118,-250000
1789377832,55,3891216,4,-248230,-241700
1789377852,54,3882738,4,-421892,-246700
1789377872,55,3891507,4,-246037,-241700
1789377892,55,3890046,4,-252118,-234400
1789377912,55,3890337,4,-248230,-241100
1789377932,55,3889755,4,-251520,-234400
1789377952,55,3887121,4,-249925,-239400
1789377972,55,3889170,4,-248728,-310300
1789377992,54,3887415,4,-253813,-236100
1789378012,55,3882444,4,-247133,-238300
1789378033,54,3885660,4,-252118,-236100
1789378053,54,3884784,4,-245439,-236600
1789378073,54,3884784,4,-264380,-244400
1789378093,54,3884199,4,-251021,-239400
1789378113,54,3878643,4,-292194,-242200
1789378133,54,3879813,4,-309440,-245600
1789378153,54,3883614,4,-259894,-237700
1789378173,54,3883614,4,-292792,-241700
1789378193,54,3882444,4,-247133,-240500
1789378214,54,3877767,4,-248728,-243300
1789378234,54,3881859,4,-258797,-244400
1789378254,54,3880689,4,-248230,-236600
1789378274,53,3881568,4,-263283,-236600
1789378294,54,3880689,4,-247632,-246700
1789378314,53,3878352,4,-256006,-236100
1789378334,53,3873672,4,-311135,-343800
1789378354,52,3872505,4,-322300,-289100
1789378374,53,3878352,4,-252118,-242200
