tag,t,uV,i1,bl
pre_A,1789375801,3956415,-231000,4
pre_A,1789375817,3957000,-228300,4
pre_A,1789375832,3958461,-234400,4
pre_A,1789375847,3957585,-232700,4
pre_A,1789375862,3957000,-232200,4
pre_A,1789375877,3959046,-237700,4
pre_A,1789375892,3956124,-228300,4
pre_A,1789375907,3957291,-243900,4
pre_A,1789375922,3955539,-226600,4
pre_A,1789375937,3952908,-230500,4
pre_A,1789375952,3947058,-288000,4
pre_A,1789375967,3951738,-439300,4
post_B,1789380802,3831279,-438100,4
post_B,1789380817,3835080,-294100,4
post_B,1789380832,3836250,-241700,4
post_B,1789380847,3835080,-243300,4
post_B,1789380862,3837126,-235500,4
post_B,1789380877,3836541,-241100,4
post_B,1789380892,3835665,-246700,4
post_B,1789380908,3834201,-264000,4
post_B,1789380923,3829524,-290800,4
post_B,1789380938,3828939,-304200,4
post_B,1789380953,3828354,-296900,4
post_B,1789380968,3833034,-244400,4
